Logradouro,Endereco,Numero,Complemento,Bairro,Cidade,Estado,Pais,Cep,Latitude,Longitude
RUA,DESEMBARGADOR LAURO NOGUEIRA 1355 PISO L1,1114,,,FORTALEZA,,,60175-055,-3.743743,-38.467144
AVENIDA,FLORESTAL 555 L52 ANC IV,1115,,,ARACRUZ,,,29192-154,-19.822119,-40.284609
AVENIDA,PREFEITO JONAS BANKS LEITE 610 TERREO,1116,,,REGISTRO,,,11900-000,-24.491723,-47.842714
AVENIDA,HILTON SOUTO MAIOR 0 QD002 L347,1117,,,JOAO PESSOA,,,58055-018,-7.162323,-34.830614
RUA,QUINZE DE NOVEMBRO 744,1118,,,LENCOIS PAULISTA,,,18680-030,-22.596965,-48.799482
ESTRADA,DE RIBAMAR 1000 LOJA ANC 6,1120,,,SAO JOSE DE RIBAMAR,,,65110-000,-2.55205,-44.191845
AVENIDA,GOVERNADOR JOSE MALCHER 3023,1122,,,BELEM,,,66090-100,-1.448287,-48.466874
RUA,CARMELITA REBOUCAS 0,1123,,,EUSEBIO,,,61460-000,-3.872799,-38.470807
AVENIDA,AMARILIO THIAGO DOS SANTOS 70,1124,,,LAURO DE FREITAS,,,42700-000,-12.900337,-38.318409
AVENIDA,MARECHAL CASTELO BRANCO 911 SUC 304,1125,,,TERESINA,,,64000-810,-5.076612,-42.802532
AVENIDA,CORONEL ESTEVAM 0,1126,,,NATAL,,,59031-000,-5.795726,-35.216118
RUA,LEOPOLDO MACHADO 2334 1127,1127,,,MACAPA,,,68901-971,0.0344,-51.062841
RUA,JULIO DE CASTILHOS 89,1129,,,CACHOEIRA DO SUL,,,96501-001,-30.037845,-52.900489
AVENIDA,"SAO VICENTE DE PAULA 101 LUC 12, 13",1130,,,CAUCAIA,,,61655-000,-3.773562,-38.628062
RUA,GENERAL OSORIO 0 S01 Q20 LT,1132,,,CACOAL,,,76963-890,-11.442001,-61.445605
RUA,DA PRAIA 131,1133,,,RECIFE,,,50020-550,-8.067437,-34.876908
RUA,SIQUEIRA CAMPOS 126 GALPAO,1134,,,SANTA RITA,,,58300-180,-7.121655,-34.980126
RUA,O 1044 LUC 99,1135,,,RIO VERDE,,,75907-681,-17.816277,-50.939291
RODOVIA,BR 282 0 KM 216,1136,,,LAGES,,,88521-130,-27.792986,-50.283381
AVENIDA,"VILLE ROY 1604 LJ 72,73,7",1137,,,BOA VISTA,,,69307-725,2.851477,-60.646152
RODOVIA,LUCIANO ARNALDO COVOLAN 1055 KM 2,1138,,,PENAPOLIS,,,16300-000,-21.411361,-50.099166
AVENIDA,ARIOSTO DA RIVA 2609 L AC 15 3,1139,,,ALTA FLORESTA,,,78580-000,-9.889589,-56.087503
PRACA,CESARIO ALVIM 282,1140,,,CARATINGA,,,35300-036,-19.790513,-42.139625
AVENIDA,JAMARI 2761,1142,,,ARIQUEMES,,,76870-012,-9.923151,-63.024953
RUA,AMARAL FRANCO 77,1144,,,MANHUACU,,,36900-000,-20.25424,-42.032442
RUA,CORONEL PENA DE MORAES 333,1145,,,FARROUPILHA,,,95180-000,-29.228321,-51.348569
RUA,LIDIA ALVES ARAGAO 40 QDA LT6A,1146,,,SANTA CRUZ DO CAPIBARIBE,,,55190-000,-7.957128,-36.198758
RUA,GUIA LOPES 271,1147,,,PONTA PORA,,,79904-686,-22.541473,-55.728286
AVENIDA,LOMANTO JUNIOR 60,1148,,,JACOBINA,,,44700-000,-11.184842,-40.511708
AVENIDA,DOUTOR MIGUEL DE SANTA BRIGIDA 0 LT4 QD106,1149,,,SALINOPOLIS,,,68721-000,-0.623678,-47.34568
RUA,CEL ANTONIO BOTELHO DE SOUSA 254 LUC 100,1150,,,MARANGUAPE,,,61940-005,-3.897709,-38.684292
AVENIDA,SAO PAULO 2114,1151,,,MONGAGUA,,,11730-000,-24.096836,-46.624414
RUA,SETE DE SETEMBRO 965,1152,,,TOLEDO,,,85901-180,-24.733127,-53.735467
AVENIDA,NOVE DE JULHO 3333 LUC 129,1153,,,JUNDIAI,,,13208-056,-23.199605,-46.889871
AVENIDA,ARQUITETO JOSE HENRIQUE BENTO RODRIGUES 3760 EC 103-G,1154,,,MANAUS,,,69093-149,-3.000957,-60.001165
RUA,CORONEL JOSE VICENTE 2 E 67,1155,,,SOUSA,,,58800-005,-6.760984,-38.2304
RUA,DELAMERA 780,1156,,,CORUMBA,,,79301-020,-18.998253,-57.651249
AVE,NOEL NUTELS 1762 LJ 3105 P1,1157,,,MANAUS,,,69095-000,-3.030984,-59.984669
AVENIDA,ANASTACIO BRAGA 01100,1158,,,ITAPIPOCA,,,62500-000,-3.495357,-39.595202
AVENIDA,OLIVEIRA BRITO 471 QD82 LT10,1159,,,RIBEIRA DO POMBAL,,,48400-000,-10.836439,-38.542932
RUA,JOAO ALENCAR 2181,1161,,,BOA VISTA,,,69310-065,2.85041,-60.706952
AVENIDA,DOUTOR AFONSO VERGUEIRO 823 ESP CM 120,1163,,,SOROCABA,,,18035-370,-23.496704,-47.458819
ROD.,MARECHAL CANDIDO RONDON KM 534-5 0 EUC 240,1165,,,ARACATUBA,,,16026-005,-21.211751,-50.468941
RUA,DESEMBARGADOR HUGO SIMAS 240,1167,,,PARANAGUA,,,83203-250,-25.51927,-48.507941
RUA,TREZE DE JUNHO 474,1168,,,CUIABA,,,78020-270,-15.601382,-56.098068
RUA,SETE DE SETEMBRO 220,1169,,,LINS,,,16400-025,-21.673043,-49.750932
RUA,CORONEL TEOFILO LEME 1094,1170,,,BRAGANCA PAULISTA,,,12900-002,-22.953887,-46.540793
PRACA,ANCHIETA 159,1171,,,ITAPEVA,,,18400-450,-23.982228,-48.87631
AVE,JERONIMO DE ALBUQUERQUE MARANHAO 61 LOJA 06,1172,,,SAO LUIS,,,65071-750,-2.535095,-44.226206
RUA,MAJOR  CLAUDIANO 1684,1173,,,FRANCA,,,14400-690,-20.543834,-47.402053
RUA,DOUTOR MARIO MEIRA 147,1174,,,BRUMADO,,,46100-000,-14.206224,-41.665462
AV,ATAULFO DE PAIVA 1251,1175,,,RIO DE JANEIRO,,,22440-030,-22.986028,-43.227668
AVENIDA,ARAGUAIA 2740,1176,,,REDENCAO,,,68552-155,-8.040503,-50.042719
AVENIDA,AMAZONAS 415,1178,,,BETIM,,,32600-065,-19.919347,-43.93895
RUA,SAO JOSE 384,1182,,,UBA,,,36500-000,-21.118516,-42.936582
RUA,JOSE BONIFACIO DE SOUZA 270 ANC 05 SH,1183,,,PALHOCA,,,88132-140,-27.642071,-48.67156
AVENIDA,CARLOS BOTELHO 400 410,1184,,,NOVA ODESSA,,,13460-000,-22.77869,-47.291782
RUA,ZILDA 606 612,1185,,,SAO PAULO,,,02545-000,-23.494404,-46.661613
AV,PRESIDENTE VARGAS 1979,1186,,,ESTEIO,,,93260-004,-29.848273,-51.175491
RUA,JEAN ANASTACE KOVELIS 400 LUC 115,1187,,,CAJAMAR,,,07791-803,-23.40835,-46.864553
AVENIDA,GOIAS 734,1188,,,CIANORTE,,,87200-268,-23.657886,-52.604515
AVENIDA,ANTONIO DE BARROS MUNIZ 0,1189,,,ARARIPINA,,,56280-000,-7.577904,-40.498262
RODOVIA,"D PEDRO I KM 131,5 S/N LJ USO COM",531,,,CAMPINAS,,,13091-901,-22.8875547,-47.06686403
BLV,VINTE E OITO DE SETEMBRO 86 LJ E TERRE,532,,,RIO DE JANEIRO,,,20551-031,-22.914084,-43.238204
RUA,TENENTE AVELAR PIRES DE AZEVEDO 81 LJS 12/154,533,,,OSASCO,,,06016-060,-23.52889917,-46.77858946
AV,DAS AMERICAS 7777 LJ 105,534,,,RIO DE JANEIRO,,,22793-081,-23.00056,-43.386275
RUA,BORBA GATO 59 LJ 316,535,,,SAO PAULO,,,04747-030,-23.65477,-46.701566
RUA,DA PASSAGEM 113 115,536,,,RIO DE JANEIRO,,,22290-030,-22.953787,-43.181376
EST,UNIAO E INDUSTRIA 11000 LJ 69/70,537,,,PETROPOLIS,,,25750-226,-22.50646319,-43.2320774
AVENIDA,MARECHAL FLORIANO PEIXOTO 44 SUC 15 NIV,538,,,SANTOS,,,11060-910,-23.96700508,-46.33670982
AVENIDA,EMANCIPACAO 47,539,,,ITAQUAQUECETUBA,,,08570-002,-23.47649,-46.35355
RUA,ATAULFO DE PAIVA 204 LOJAS A/B,540,,,RIO DE JANEIRO,,,22440-033,-22.98365,-43.217977
AVENIDA,SAO JOAO 2200 EUC N NT,541,,,SAO JOSE DOS CAMPOS,,,12242-000,-23.20866816,-45.90874609
